track_id,track_name,artist_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,data_lancamento,total_playlists,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,quartil_streams,classificacao_streams,quartil_bpm,classificacao_bpm,quartil_danceability,classificacao_danceability,quartil_valence,classificacao_valence,quartil_energy,classificacao_energy,quartil_acousticness,classificacao_acousticness,quartil_instrumentalness,classificacao_instrumentalness,quartil_liveness,classificacao_liveness,quartil_speechiness,quartil_total_playlists,classificacao_speechiness,classificacao_total_playlists
1404326,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,873,104,30546883,2023-07-13,1048,80,227,95,24,78,Ausente,Major,44,14,9,96,0,10,3,1,baixo,1,baixo,1,baixo,1,baixo,1,baixo,4,alto,1,baixo,2,medio,1,2,baixo,medio
4703367,"I'm Tired - From ""Euphoria"" An Original HBO Series",Labrinth,1,1888,0,121913181,2022-02-04,1972,26,1,58,0,71,Ausente,Minor,28,26,20,19,0,30,3,1,baixo,1,baixo,1,baixo,1,baixo,1,baixo,3,medio,1,baixo,4,alto,1,2,baixo,medio
4611820,Special,SZA,1,906,0,88092256,2022-12-09,915,6,21,3,0,76,Ausente,Major,60,19,20,78,0,11,5,1,baixo,1,baixo,2,medio,1,baixo,1,baixo,4,alto,1,baixo,2,medio,2,1,medio,baixo
4671002,Boyfriends,Harry Styles,1,1517,0,137070925,2022-05-20,1573,26,2,30,0,118,Ausente,Major,42,32,20,94,0,11,4,1,baixo,2,medio,1,baixo,1,baixo,1,baixo,4,alto,1,baixo,2,medio,1,2,baixo,medio
7556948,Crown,Kendrick Lamar,1,1493,0,42485571,2022-05-13,1505,2,0,10,0,170,C#,Minor,37,14,24,80,0,11,4,1,baixo,4,alto,1,baixo,1,baixo,1,baixo,4,alto,1,baixo,2,medio,1,2,baixo,medio
2341529,Bigger Than The Whole Sky,Taylor Swift,1,1180,0,121871870,2022-10-21,1192,4,0,8,0,166,F#,Major,42,7,24,83,1,12,6,1,baixo,4,alto,1,baixo,1,baixo,1,baixo,4,alto,4,alto,2,medio,2,2,medio,medio
4989276,Love Language,SZA,1,1127,0,110849052,2022-12-09,1151,16,63,8,0,65,A,Minor,71,55,26,85,0,13,8,1,baixo,1,baixo,3,medio,3,medio,1,baixo,4,alto,1,baixo,3,medio,3,2,medio,medio
8125634,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,332,5,70106975,2023-06-02,355,18,41,5,0,120,A,Major,78,5,30,21,0,13,5,1,baixo,2,medio,3,medio,1,baixo,1,baixo,3,medio,1,baixo,3,medio,2,1,medio,baixo
6987709,Peaches (from The Super Mario Bros. Movie),Jack Black,1,34,0,68216992,2023-04-07,34,0,0,0,0,92,A#,Minor,71,41,31,79,0,10,5,1,baixo,1,baixo,3,medio,2,medio,1,baixo,4,alto,1,baixo,2,medio,2,1,medio,baixo
2162220,Novidade na ,"Mc Livinho, DJ Matt D",2,267,9,39709092,2023-06-23,301,9,6,25,2,130,F,Major,63,36,34,76,0,35,9,1,baixo,3,medio,2,medio,2,medio,1,baixo,4,alto,1,baixo,4,alto,3,1,medio,baixo
8715137,Miserable Man,David Kushner,1,788,0,124407432,2022-01-07,833,13,0,32,1,110,A#,Major,63,31,35,93,0,29,3,1,baixo,2,medio,2,medio,1,baixo,1,baixo,4,alto,1,baixo,4,alto,1,1,baixo,baixo
5243367,Say Yes To Heaven,Lana Del Rey,1,2000,46,127567540,2023-03-17,2112,49,105,63,1,100,F#,Minor,49,17,35,71,9,11,3,1,baixo,2,medio,1,baixo,1,baixo,1,baixo,4,alto,4,alto,2,medio,1,2,baixo,medio
8167749,Deck The Hall - Remastered 1999,Nat King Cole,1,3299,0,127027715,1959-01-01,3405,65,39,41,0,107,F#,Minor,69,96,36,81,0,8,4,1,baixo,2,medio,2,medio,4,alto,1,baixo,4,alto,1,baixo,1,baixo,1,3,baixo,medio
8024591,Sem Aliana no,"MC Xenon, Os Gemeos da Putaria",2,454,4,93587665,2022-12-23,481,6,1,21,0,83,C#,Major,53,40,36,73,0,11,33,1,baixo,1,baixo,1,baixo,2,medio,1,baixo,4,alto,1,baixo,2,medio,4,1,alto,baixo
2612867,Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2,1890,0,33381454,2022-05-13,1895,3,0,2,0,140,G#,Minor,49,50,37,87,0,11,35,1,baixo,3,medio,1,baixo,2,medio,1,baixo,4,alto,1,baixo,2,medio,4,2,alto,medio
1713130,Auntie Diaries,Kendrick Lamar,1,1545,0,37778188,2022-05-13,1550,1,0,4,0,78,G,Major,43,60,38,76,1,48,38,1,baixo,1,baixo,1,baixo,3,medio,1,baixo,4,alto,4,alto,4,alto,4,2,alto,medio
3476877,My Mind & Me,Selena Gomez,1,953,0,91473363,2022-11-03,1051,61,13,37,1,144,A,Major,60,24,39,57,0,8,3,1,baixo,4,alto,2,medio,1,baixo,1,baixo,4,alto,1,baixo,1,baixo,1,2,baixo,medio
2969049,Area Codes,"Kaliii, Kaliii",2,1197,13,113509496,2023-03-17,1266,44,34,25,1,155,C#,Major,82,51,39,2,0,9,49,1,baixo,4,alto,4,alto,2,medio,1,baixo,1,baixo,1,baixo,1,baixo,4,2,alto,medio
2698226,Primera Cita,Carin Leon,1,266,27,77309611,2022-04-20,278,6,40,6,6,158,A#,Major,54,50,40,61,0,10,6,1,baixo,4,alto,1,baixo,2,medio,1,baixo,4,alto,1,baixo,2,medio,2,1,medio,baixo
8917301,Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,685,2,129314708,2022-06-10,726,17,0,24,0,130,D#,Minor,71,78,40,46,0,7,45,1,baixo,3,medio,3,medio,4,alto,1,baixo,4,alto,1,baixo,1,baixo,4,1,alto,baixo
1166211,Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,359,2,60350538,2023-05-26,369,1,0,9,0,110,F#,Minor,66,32,40,81,0,11,3,1,baixo,2,medio,2,medio,1,baixo,1,baixo,4,alto,1,baixo,2,medio,1,1,baixo,baixo
4389214,Komang,Raim Laode,1,158,4,137123880,2022-08-16,164,5,6,1,1,134,G,Major,70,35,41,41,0,10,3,1,baixo,3,medio,3,medio,2,medio,1,baixo,3,medio,1,baixo,2,medio,1,1,baixo,baixo
3475077,Never Felt So Alone,Labrinth,1,1730,3,117747907,2023-04-07,1827,46,5,51,0,98,F,Major,44,36,41,50,0,38,5,1,baixo,1,baixo,1,baixo,2,medio,1,baixo,4,alto,1,baixo,4,alto,2,2,medio,medio
2717112,Starry Eyes,The Weeknd,1,1014,0,74601456,2022-01-07,1026,1,17,11,0,86,A,Minor,28,13,41,50,0,19,3,1,baixo,1,baixo,1,baixo,1,baixo,1,baixo,4,alto,1,baixo,3,medio,1,2,baixo,medio
5264430,Rich - Interlude,Kendrick Lamar,1,1103,0,41210087,2022-05-13,1103,0,0,0,0,104,G,Major,44,74,42,88,0,9,9,1,baixo,2,medio,1,baixo,4,alto,1,baixo,4,alto,1,baixo,1,baixo,3,2,medio,medio
1671724,Count Me Out,Kendrick Lamar,1,2729,0,126191104,2022-05-13,2745,3,7,13,0,134,G,Major,78,51,43,69,0,14,9,1,baixo,3,medio,3,medio,2,medio,1,baixo,4,alto,1,baixo,3,medio,3,3,medio,medio
3108815,BackOutsideBoyz,Drake,1,1045,0,93367537,2022-11-04,1055,8,5,2,0,142,F,Minor,85,40,43,4,0,39,32,1,baixo,4,alto,4,alto,2,medio,1,baixo,1,baixo,1,baixo,4,alto,4,2,alto,medio
6271365,Abcdario,"Junior H, Eden Mu",2,262,5,89933133,2023-05-13,274,8,60,4,1,129,G#,Major,70,42,43,78,0,11,3,1,baixo,3,medio,3,medio,2,medio,1,baixo,4,alto,1,baixo,2,medio,1,1,baixo,baixo
3635714,Savior - Interlude,Kendrick Lamar,1,1194,0,37091576,2022-05-13,1197,0,0,3,0,118,F,Minor,66,83,43,84,0,19,19,1,baixo,2,medio,2,medio,4,alto,1,baixo,4,alto,1,baixo,3,medio,4,2,alto,medio
5179092,Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,1634,0,110073250,2022-12-09,1654,16,20,4,0,125,F#,Major,62,59,43,84,3,11,5,1,baixo,3,medio,2,medio,3,medio,1,baixo,4,alto,4,alto,2,medio,2,2,medio,medio
3984533,Con La Brisa,"Ludwig Goransson, Foudeqush",2,486,0,71095708,2022-11-04,501,8,1,7,0,114,D,Minor,62,25,44,51,33,14,3,1,baixo,2,medio,2,medio,1,baixo,1,baixo,4,alto,4,alto,3,medio,1,1,baixo,baixo
2070479,Gone Girl,SZA,1,892,0,65362788,2022-12-09,897,3,17,2,0,150,F,Major,43,42,44,57,0,15,6,1,baixo,4,alto,1,baixo,2,medio,1,baixo,4,alto,1,baixo,3,medio,2,1,medio,baixo
2150360,Soy El Unico,Yahritza Y Su Esencia,1,226,0,126443991,2022-03-25,235,5,0,4,0,84,E,Minor,71,63,45,45,0,11,3,1,baixo,1,baixo,3,medio,3,medio,1,baixo,4,alto,1,baixo,2,medio,1,1,baixo,baixo
2587921,Conceited,SZA,1,899,0,56870689,2022-12-09,903,2,14,2,0,150,C#,Major,79,77,46,5,0,11,7,1,baixo,4,alto,4,alto,4,alto,1,baixo,1,baixo,1,baixo,2,medio,3,1,medio,baixo
4557678,Chance,Paulo Londra,1,225,0,89566512,2022-04-06,243,11,0,7,0,138,C#,Minor,72,22,46,24,0,9,6,1,baixo,3,medio,3,medio,1,baixo,1,baixo,3,medio,1,baixo,1,baixo,3,1,medio,baixo
3186172,Worldwide Steppers,Kendrick Lamar,1,1480,0,61739839,2022-05-13,1486,1,0,5,0,72,A#,Minor,56,56,47,76,0,8,36,1,baixo,1,baixo,1,baixo,3,medio,1,baixo,4,alto,1,baixo,1,baixo,4,2,alto,medio
4165407,Carto B,"MC Caverinha, KayBlack",2,269,4,71573339,2023-05-11,306,7,2,30,1,108,A,Minor,84,55,47,26,0,20,64,1,baixo,2,medio,4,alto,3,medio,1,baixo,3,medio,1,baixo,3,medio,4,1,alto,baixo
7179210,Still With You,Jung Kook,1,31,39,38411956,2020-06-05,41,2,107,8,0,88,C#,Minor,53,34,47,9,0,83,4,1,baixo,1,baixo,1,baixo,2,medio,1,baixo,2,medio,1,baixo,4,alto,1,1,baixo,baixo
4603662,Don't ever say love me (feat. RM of BTS),"RM, Colde",2,105,0,34502215,2023-05-04,115,5,9,5,0,145,B,Minor,54,19,48,36,0,37,5,1,baixo,4,alto,1,baixo,1,baixo,1,baixo,3,medio,1,baixo,4,alto,2,1,medio,baixo
7332091,Phantom Regret by Jim,The Weeknd,1,768,0,31959571,2022-01-07,772,1,1,3,0,108,A,Minor,46,23,48,75,30,14,4,1,baixo,2,medio,1,baixo,1,baixo,1,baixo,4,alto,4,alto,3,medio,1,1,baixo,baixo
6470158,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,551,4,86773632,2023-06-02,584,13,46,20,1,146,B,Minor,61,20,48,21,0,12,6,1,baixo,4,alto,2,medio,1,baixo,1,baixo,3,medio,1,baixo,2,medio,3,1,medio,baixo
6136667,Acrs,Shakira,1,955,29,123124076,2023-05-11,1071,37,50,79,11,144,B,Major,75,35,48,84,0,10,12,1,baixo,4,alto,3,medio,2,medio,1,baixo,4,alto,1,baixo,2,medio,4,2,alto,medio
7175350,Dawn FM,The Weeknd,1,811,0,53933526,2022-01-07,818,1,8,6,0,78,A,Minor,27,10,49,62,0,49,5,1,baixo,1,baixo,1,baixo,1,baixo,1,baixo,4,alto,1,baixo,4,alto,2,1,medio,baixo
6107475,This Love (Taylors Ve,Taylor Swift,1,1492,0,132171975,2022-05-06,1533,26,2,15,0,144,E,Major,47,7,50,32,0,7,4,1,baixo,4,alto,1,baixo,1,baixo,1,baixo,3,medio,1,baixo,1,baixo,1,2,baixo,medio
3355993,A Tale By Quincy,The Weeknd,1,733,0,41924466,2022-01-07,735,0,2,2,0,94,F,Minor,46,55,50,71,0,10,11,1,baixo,1,baixo,1,baixo,3,medio,1,baixo,4,alto,1,baixo,2,medio,3,1,medio,baixo
1828295,Fim de Semana no Rio,teto,1,315,2,139193812,2022-03-30,373,27,2,31,0,119,C#,Minor,87,28,50,12,0,10,10,1,baixo,2,medio,4,alto,1,baixo,1,baixo,2,medio,1,baixo,2,medio,3,1,medio,baixo
8129977,Novo Balan,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,283,7,81102253,2023-05-19,315,6,9,26,1,124,D#,Minor,84,65,50,67,0,13,6,1,baixo,3,medio,4,alto,3,medio,1,baixo,4,alto,1,baixo,3,medio,3,1,medio,baixo
1338081,Do We Have A Problem?,"Nicki Minaj, Lil Baby",2,1064,0,81350745,2022-02-04,1132,42,1,26,0,120,C#,Minor,84,54,51,47,0,12,40,1,baixo,2,medio,4,alto,3,medio,1,baixo,4,alto,1,baixo,2,medio,4,2,alto,medio
4501584,How Do I Make You Love Me?,The Weeknd,1,1915,0,119238316,2022-01-07,1937,7,47,15,0,121,G,Minor,80,62,51,2,0,9,8,1,baixo,3,medio,4,alto,3,medio,1,baixo,1,baixo,1,baixo,1,baixo,3,2,medio,medio
4618597,For Youth,BTS,1,327,0,114546317,2022-06-10,344,5,40,12,0,117,D,Major,63,29,51,43,0,25,4,1,baixo,2,medio,2,medio,1,baixo,1,baixo,3,medio,1,baixo,4,alto,1,1,baixo,baixo
6436155,"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,197,0,32761689,2023-06-02,203,3,10,3,0,101,F,Major,92,59,51,41,51,26,8,1,baixo,2,medio,4,alto,3,medio,1,baixo,3,medio,4,alto,4,alto,3,1,medio,baixo
8292846,"Hey, Mickey!",Baby Tate,1,482,0,122763672,2016-09-27,503,9,1,12,4,135,D,Major,92,73,51,55,0,15,6,1,baixo,3,medio,4,alto,4,alto,1,baixo,4,alto,1,baixo,3,medio,3,1,medio,baixo
2830739,I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2,1657,0,121077868,2022-05-06,1675,15,3,3,0,96,B,Major,71,37,52,62,0,11,36,1,baixo,1,baixo,3,medio,2,medio,1,baixo,4,alto,1,baixo,2,medio,4,2,alto,medio
6801500,Enchanted (Taylor's Version),Taylor Swift,1,148,24,39578178,2023-07-07,188,32,93,8,2,82,G#,Major,51,22,53,1,0,15,3,1,baixo,1,baixo,1,baixo,1,baixo,1,baixo,1,baixo,1,baixo,3,medio,1,1,baixo,baixo
6609930,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,727,16,94186466,2023-06-02,772,17,60,28,1,90,A,Minor,60,13,53,4,0,21,4,1,baixo,1,baixo,2,medio,1,baixo,1,baixo,1,baixo,1,baixo,3,medio,1,1,baixo,baixo
8143341,Bye Bye,"Marshmello, Juice WRLD",2,766,0,84697729,2022-10-14,791,16,0,9,0,83,D#,Minor,65,24,53,6,0,51,4,1,baixo,1,baixo,2,medio,1,baixo,1,baixo,1,baixo,1,baixo,4,alto,1,1,baixo,baixo
6974739,vampire,Olivia Rodrigo,1,1397,113,140003974,2023-06-30,1582,94,207,91,14,138,F,Major,51,32,53,17,0,31,6,1,baixo,3,medio,1,baixo,1,baixo,1,baixo,2,medio,1,baixo,4,alto,2,2,medio,medio
8171348,"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,367,0,97610446,2022-07-12,590,28,67,195,0,145,G,Major,56,43,53,24,0,12,4,1,baixo,4,alto,1,baixo,2,medio,1,baixo,3,medio,1,baixo,2,medio,1,1,baixo,baixo
8174233,Broke Boys,"Drake, 21 Savage",2,1060,0,106249219,2022-11-04,1068,3,8,5,0,120,D,Major,64,11,53,1,0,25,27,1,baixo,2,medio,2,medio,1,baixo,1,baixo,1,baixo,1,baixo,4,alto,4,2,alto,medio
6457168,25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,620,0,54937991,2022-01-07,640,17,3,3,0,115,F,Minor,90,74,54,16,0,13,28,1,baixo,2,medio,4,alto,4,alto,2,medio,2,medio,2,medio,3,medio,4,1,alto,baixo
5005107,Mr. Morale,"Kendrick Lamar, Tanna Leone",2,1860,0,58687425,2022-05-13,1864,1,0,3,0,174,A,Major,73,26,54,30,0,34,32,1,baixo,4,alto,3,medio,1,baixo,2,medio,3,medio,2,medio,4,alto,4,2,alto,medio
4497491,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,1051,16,109276132,2023-06-02,1113,31,37,31,0,140,Ausente,Major,63,22,54,46,0,12,8,1,baixo,3,medio,2,medio,1,baixo,2,medio,4,alto,2,medio,2,medio,3,2,medio,medio
8283550,Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,880,0,110649992,2022-12-02,893,3,7,10,0,112,G#,Major,80,15,54,9,0,38,5,1,baixo,2,medio,4,alto,1,baixo,2,medio,2,medio,2,medio,4,alto,2,1,medio,baixo
5602322,Far,SZA,1,680,0,51641685,2022-12-09,683,2,15,1,0,116,D,Major,61,48,55,67,0,16,8,1,baixo,2,medio,2,medio,2,medio,2,medio,4,alto,2,medio,3,medio,3,1,medio,baixo
4866757,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,259,0,37126685,2023-06-02,269,5,17,5,0,135,A,Minor,77,28,55,18,0,22,15,1,baixo,3,medio,3,medio,1,baixo,2,medio,2,medio,2,medio,3,medio,4,1,alto,baixo
5810373,L,Stromae,1,2035,0,108809090,2022-01-09,2470,41,122,394,0,88,D,Minor,56,58,55,35,0,23,11,1,baixo,1,baixo,1,baixo,3,medio,2,medio,3,medio,2,medio,3,medio,3,3,medio,medio
3747351,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,178,6,64533040,2023-05-15,185,6,71,1,0,100,E,Major,56,53,55,53,0,12,4,1,baixo,2,medio,1,baixo,3,medio,2,medio,4,alto,2,medio,2,medio,1,1,baixo,baixo
7989475,REMIX EXCLUSIVO,Feid,1,1235,9,117206995,2023-03-17,1270,20,8,15,0,87,F,Minor,65,71,56,4,0,15,20,1,baixo,1,baixo,2,medio,4,alto,2,medio,1,baixo,2,medio,3,medio,4,2,alto,medio
7021208,"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,86,0,139836056,2022-11-05,97,11,101,0,0,94,A,Major,59,44,56,80,0,6,3,1,baixo,1,baixo,2,medio,2,medio,2,medio,4,alto,2,medio,1,baixo,1,1,baixo,baixo
1532170,Poland,Lil Yachty,1,1584,0,115331792,2022-06-23,1646,38,0,24,0,150,F,Minor,70,26,56,14,83,11,5,1,baixo,4,alto,3,medio,1,baixo,2,medio,2,medio,4,alto,2,medio,2,2,medio,medio
7688790,Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2313,0,136676504,2022-06-10,2376,34,0,29,0,120,G,Major,88,15,56,1,0,8,6,1,baixo,2,medio,4,alto,1,baixo,2,medio,1,baixo,2,medio,1,baixo,3,3,medio,medio
6619922,People Pt.2 (feat. IU),"IU, Agust D",2,209,4,95816024,2023-04-07,224,4,45,11,2,89,G,Minor,73,44,57,39,0,32,6,1,baixo,1,baixo,3,medio,2,medio,2,medio,3,medio,2,medio,4,alto,3,1,medio,baixo
2861036,Silent Hill,"Kendrick Lamar, Kodak Black",2,3028,0,123216717,2022-05-13,3073,22,0,23,0,140,C#,Minor,92,78,57,46,0,14,9,1,baixo,3,medio,4,alto,4,alto,2,medio,4,alto,2,medio,3,medio,3,3,medio,medio
2264316,Double Fantasy (with Future),"The Weeknd, Future",2,1169,0,96180277,2023-04-21,1233,36,65,28,0,119,A,Minor,60,10,57,1,0,50,3,1,baixo,2,medio,2,medio,1,baixo,2,medio,1,baixo,2,medio,4,alto,1,2,baixo,medio
6882173,Conexes de Mfia (feat. Rich,"Rich The Kid, Matu",2,385,4,77233241,2023-04-30,443,17,7,41,1,117,F#,Minor,77,69,58,39,0,26,5,1,baixo,2,medio,3,medio,3,medio,2,medio,3,medio,2,medio,4,alto,2,1,medio,baixo
5168392,Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,1117,80,65156199,2023-06-23,1264,82,145,65,16,144,Ausente,Major,77,75,58,52,0,23,25,1,baixo,4,alto,3,medio,4,alto,2,medio,4,alto,2,medio,3,medio,4,2,alto,medio
3108040,Still Life,BIGBANG,1,181,0,53909146,2022-04-05,204,16,14,7,0,118,G#,Major,68,24,58,44,0,6,3,1,baixo,2,medio,2,medio,1,baixo,2,medio,4,alto,2,medio,1,baixo,1,1,baixo,baixo
4053069,Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,381,5,46065667,2023-05-26,410,23,82,6,0,134,B,Major,76,61,58,6,0,16,3,1,baixo,3,medio,3,medio,3,medio,2,medio,2,medio,2,medio,3,medio,1,1,baixo,baixo
3519068,Lovezinho,Treyce,1,242,0,70069745,2022-07-28,267,12,2,13,0,128,E,Minor,82,61,59,30,0,12,4,1,baixo,3,medio,4,alto,3,medio,2,medio,3,medio,2,medio,2,medio,2,1,medio,baixo
6386843,Best Friends,The Weeknd,1,1292,0,101114984,2022-01-07,1309,3,18,14,0,87,E,Minor,49,49,59,44,0,35,21,1,baixo,1,baixo,1,baixo,2,medio,2,medio,4,alto,1,baixo,4,alto,4,2,alto,medio
